pdf_name,page,code,keyword,context,position,validated,relevant,notes
PH Tirol.pdf,10,Code 2.2: Inklusion & Partizipation,Partizipation,"ung mit Bildungstheorien. • eignen sich pädagogische Konzepte auf Basis von Theorien und Praktiken im Kontext kultureller Bildung an. • kennen die Prinzipien politischer Bildung und sind in der Lage, partizipations- und werteorientierte Bildungsarbeit zu gestalten. • können Modelle und Theorien kindlicher Entwicklung analysieren und sind in der Lage, erziehungswissenschaftliche, soziologische und psychologisch",2041,False,,
PH Tirol.pdf,10,Code 2.3: Individuelle Förderung & Differenzierung,Differenzierung,"Inhalten der aktuellen Bildungsforschung und ein Professionsbewusstsein mit hoher Reflexionsfähigkeit sind Voraussetzung für die Entwicklung eines professionellen pädagogischen Habitus. Reflexions-, Differenzierungs-, Diskurs- und Teamfähigkeit sind für die Gestaltung von Entwicklungsprozessen relevant und werden im Studium gefördert. In den nachfolgend beschriebenen Kompetenzen bildet sich das gesamte Professi",1033,False,,
PH Tirol.pdf,10,Code 2.3: Individuelle Förderung & Differenzierung,Fördermaßnahmen,"und auf abweichende Entwicklungsverläufe adäquat fördernd reagieren. • kennen unterschiedliche Konzepte und Methoden der Lern- und Entwicklungsbeobachtung sowie -dokumentation, sind imstande, daraus Fördermaßnahmen abzuleiten und Bildungsprozesse zu begleiten. Sie sind zudem in der Lage, die Dokumentationen als Grundlage für Team-, Eltern- und Beratungsgespräche sowie zur Bildungsverlaufsplanung einzusetzen. •",2746,False,,
PH Tirol.pdf,10,Code 2.5: Bildungspartnerschaft & Sozialraumorientierung,Bildungspartnerschaft,"ofessioneller Teams, wissen um die Wichtigkeit und den Nutzen externer Bildungspartner*innen sowie gesellschaftlicher Akteur*innen und kennen Kriterien und Methoden zur Gestaltung einer konstruktiven Bildungspartnerschaft mit Erziehungsberechtigten.",3412,False,,
PH Tirol.pdf,10,Code 2.7: Professionelle Haltung & Ethik,Werte,"n Kompetenzen bildet sich das gesamte Professionsverständnis ab.  Allgemeine pädagogische Kompetenz Die Absolvent*innen …  • setzen sich konstruktiv und selbstkritisch mit ihrer eigenen Person, ihren Werten und ihrer Haltung zu Welt, Gesellschaft, zum Menschen und zum Kind auseinander. • begreifen Kindheit als Lebensphase sowie als soziales, kulturelles und gesellschaftliches Konstrukt. • haben Grundke",1402,False,,
PH Tirol.pdf,10,Code 2.7: Professionelle Haltung & Ethik,Werte,"rien. • eignen sich pädagogische Konzepte auf Basis von Theorien und Praktiken im Kontext kultureller Bildung an. • kennen die Prinzipien politischer Bildung und sind in der Lage, partizipations- und werteorientierte Bildungsarbeit zu gestalten. • können Modelle und Theorien kindlicher Entwicklung analysieren und sind in der Lage, erziehungswissenschaftliche, soziologische und psychologische Theorien u",2061,False,,
PH Tirol.pdf,10,Code 2.7: Professionelle Haltung & Ethik,Haltung,"det sich das gesamte Professionsverständnis ab.  Allgemeine pädagogische Kompetenz Die Absolvent*innen …  • setzen sich konstruktiv und selbstkritisch mit ihrer eigenen Person, ihren Werten und ihrer Haltung zu Welt, Gesellschaft, zum Menschen und zum Kind auseinander. • begreifen Kindheit als Lebensphase sowie als soziales, kulturelles und gesellschaftliches Konstrukt. • haben Grundkenntnisse der sozial",1419,False,,
PH Tirol.pdf,11,Code 2.1: Diversität & Heterogenität,Diversität,"eren und zu begleiten. • kennen die Basiskonzepte und Theorien zu den Vorläuferfähigkeiten des Schriftspracherwerbs sowie der Lesekompetenz und sind in der Lage, Handlungsoptionen daraus abzuleiten.  Diversitäts- und Inklusionskompetenz Die Absolvent*innen …  • kennen die Grundlagen der Dimensionen Kultur, Nation, Religion, Behinderung, Begabung, sexuelle Orientierung, Geschlecht etc. und sind in der Lage,",2355,False,,
PH Tirol.pdf,11,Code 2.1: Diversität & Heterogenität,Diversität,"d Inklusionskompetenz Die Absolvent*innen …  • kennen die Grundlagen der Dimensionen Kultur, Nation, Religion, Behinderung, Begabung, sexuelle Orientierung, Geschlecht etc. und sind in der Lage, eine diversitätsbewusste Haltung einzunehmen, bei der Stärken- und Ressourcenorientierung im Vordergrund stehen. • begreifen Diversität als Ressource für Bildungs- und Lernprozesse, können Kerndimensionen und Theori",2570,False,,
PH Tirol.pdf,11,Code 2.1: Diversität & Heterogenität,Diversität,"ng, Begabung, sexuelle Orientierung, Geschlecht etc. und sind in der Lage, eine diversitätsbewusste Haltung einzunehmen, bei der Stärken- und Ressourcenorientierung im Vordergrund stehen. • begreifen Diversität als Ressource für Bildungs- und Lernprozesse, können Kerndimensionen und Theorien von Diversität interpretieren und sind in der Lage, Familienkonstellationen sozialisationstheoretisch sowie soziologi",2690,False,,
PH Tirol.pdf,11,Code 2.1: Diversität & Heterogenität,Diversität,"te Haltung einzunehmen, bei der Stärken- und Ressourcenorientierung im Vordergrund stehen. • begreifen Diversität als Ressource für Bildungs- und Lernprozesse, können Kerndimensionen und Theorien von Diversität interpretieren und sind in der Lage, Familienkonstellationen sozialisationstheoretisch sowie soziologisch zu reflektieren und diversitätsbewusst zu agieren. • sind fähig, sich kritisch mit der eigene",2787,False,,
PH Tirol.pdf,11,Code 2.1: Diversität & Heterogenität,Diversität,"ngs- und Lernprozesse, können Kerndimensionen und Theorien von Diversität interpretieren und sind in der Lage, Familienkonstellationen sozialisationstheoretisch sowie soziologisch zu reflektieren und diversitätsbewusst zu agieren. • sind fähig, sich kritisch mit der eigenen Biografie, mit dem Begriff des Fremden und des Eigenen auseinanderzusetzen und ihre eigene Haltung und Sprache zu reflektieren. • kenne",2924,False,,
PH Tirol.pdf,11,Code 2.1: Diversität & Heterogenität,Diversität,"Segregation, Integration und Inklusion und können in heterogenen Kindergruppen kompetent Gemeinsamkeit, Partizipation und Zugehörigkeit fördern sowie Lehr- und Lernprozesse im Sinne von Inklusion und Diversität gestalten. • kennen sowohl die rechtlichen Grundlagen des Themas Inklusion als auch inklusionsfördernde Lern- und Raumsettings und verstehen die Notwendigkeit inklusiver Bildung.",3395,False,,
PH Tirol.pdf,11,Code 2.1: Diversität & Heterogenität,Geschlecht,"ptionen daraus abzuleiten.  Diversitäts- und Inklusionskompetenz Die Absolvent*innen …  • kennen die Grundlagen der Dimensionen Kultur, Nation, Religion, Behinderung, Begabung, sexuelle Orientierung, Geschlecht etc. und sind in der Lage, eine diversitätsbewusste Haltung einzunehmen, bei der Stärken- und Ressourcenorientierung im Vordergrund stehen. • begreifen Diversität als Ressource für Bildungs- und Lern",2527,False,,
PH Tirol.pdf,11,Code 2.1: Diversität & Heterogenität,Familienkonstellationen,"sourcenorientierung im Vordergrund stehen. • begreifen Diversität als Ressource für Bildungs- und Lernprozesse, können Kerndimensionen und Theorien von Diversität interpretieren und sind in der Lage, Familienkonstellationen sozialisationstheoretisch sowie soziologisch zu reflektieren und diversitätsbewusst zu agieren. • sind fähig, sich kritisch mit der eigenen Biografie, mit dem Begriff des Fremden und des Eigenen ause",2835,False,,
PH Tirol.pdf,11,Code 2.2: Inklusion & Partizipation,Inklusion,"iten. • kennen die Basiskonzepte und Theorien zu den Vorläuferfähigkeiten des Schriftspracherwerbs sowie der Lesekompetenz und sind in der Lage, Handlungsoptionen daraus abzuleiten.  Diversitäts- und Inklusionskompetenz Die Absolvent*innen …  • kennen die Grundlagen der Dimensionen Kultur, Nation, Religion, Behinderung, Begabung, sexuelle Orientierung, Geschlecht etc. und sind in der Lage, eine diversitäts",2372,False,,
PH Tirol.pdf,11,Code 2.2: Inklusion & Partizipation,Inklusion,"f des Fremden und des Eigenen auseinanderzusetzen und ihre eigene Haltung und Sprache zu reflektieren. • kennen den Paradigmenwechsel und dessen Konsequenzen in Bezug auf Segregation, Integration und Inklusion und können in heterogenen Kindergruppen kompetent Gemeinsamkeit, Partizipation und Zugehörigkeit fördern sowie Lehr- und Lernprozesse im Sinne von Inklusion und Diversität gestalten. • kennen sowohl",3224,False,,
PH Tirol.pdf,11,Code 2.2: Inklusion & Partizipation,Inklusion,"in Bezug auf Segregation, Integration und Inklusion und können in heterogenen Kindergruppen kompetent Gemeinsamkeit, Partizipation und Zugehörigkeit fördern sowie Lehr- und Lernprozesse im Sinne von Inklusion und Diversität gestalten. • kennen sowohl die rechtlichen Grundlagen des Themas Inklusion als auch inklusionsfördernde Lern- und Raumsettings und verstehen die Notwendigkeit inklusiver Bildung.",3381,False,,
PH Tirol.pdf,11,Code 2.2: Inklusion & Partizipation,Inklusion,"en kompetent Gemeinsamkeit, Partizipation und Zugehörigkeit fördern sowie Lehr- und Lernprozesse im Sinne von Inklusion und Diversität gestalten. • kennen sowohl die rechtlichen Grundlagen des Themas Inklusion als auch inklusionsfördernde Lern- und Raumsettings und verstehen die Notwendigkeit inklusiver Bildung.",3471,False,,
PH Tirol.pdf,11,Code 2.2: Inklusion & Partizipation,Inklusion,"samkeit, Partizipation und Zugehörigkeit fördern sowie Lehr- und Lernprozesse im Sinne von Inklusion und Diversität gestalten. • kennen sowohl die rechtlichen Grundlagen des Themas Inklusion als auch inklusionsfördernde Lern- und Raumsettings und verstehen die Notwendigkeit inklusiver Bildung.",3490,False,,
PH Tirol.pdf,11,Code 2.2: Inklusion & Partizipation,inklusiv,se im Sinne von Inklusion und Diversität gestalten. • kennen sowohl die rechtlichen Grundlagen des Themas Inklusion als auch inklusionsfördernde Lern- und Raumsettings und verstehen die Notwendigkeit inklusiver Bildung.,3565,False,,
PH Tirol.pdf,11,Code 2.2: Inklusion & Partizipation,Integration,", mit dem Begriff des Fremden und des Eigenen auseinanderzusetzen und ihre eigene Haltung und Sprache zu reflektieren. • kennen den Paradigmenwechsel und dessen Konsequenzen in Bezug auf Segregation, Integration und Inklusion und können in heterogenen Kindergruppen kompetent Gemeinsamkeit, Partizipation und Zugehörigkeit fördern sowie Lehr- und Lernprozesse im Sinne von Inklusion und Diversität gestalten. •",3208,False,,
PH Tirol.pdf,11,Code 2.2: Inklusion & Partizipation,Segregation,"nen Biografie, mit dem Begriff des Fremden und des Eigenen auseinanderzusetzen und ihre eigene Haltung und Sprache zu reflektieren. • kennen den Paradigmenwechsel und dessen Konsequenzen in Bezug auf Segregation, Integration und Inklusion und können in heterogenen Kindergruppen kompetent Gemeinsamkeit, Partizipation und Zugehörigkeit fördern sowie Lehr- und Lernprozesse im Sinne von Inklusion und Diversität",3195,False,,
PH Tirol.pdf,11,Code 2.2: Inklusion & Partizipation,Partizipation,"nd Sprache zu reflektieren. • kennen den Paradigmenwechsel und dessen Konsequenzen in Bezug auf Segregation, Integration und Inklusion und können in heterogenen Kindergruppen kompetent Gemeinsamkeit, Partizipation und Zugehörigkeit fördern sowie Lehr- und Lernprozesse im Sinne von Inklusion und Diversität gestalten. • kennen sowohl die rechtlichen Grundlagen des Themas Inklusion als auch inklusionsfördernde Le",3299,False,,
PH Tirol.pdf,11,Code 2.2: Inklusion & Partizipation,Zugehörigkeit,"ektieren. • kennen den Paradigmenwechsel und dessen Konsequenzen in Bezug auf Segregation, Integration und Inklusion und können in heterogenen Kindergruppen kompetent Gemeinsamkeit, Partizipation und Zugehörigkeit fördern sowie Lehr- und Lernprozesse im Sinne von Inklusion und Diversität gestalten. • kennen sowohl die rechtlichen Grundlagen des Themas Inklusion als auch inklusionsfördernde Lern- und Raumsettin",3317,False,,
PH Tirol.pdf,11,Code 2.3: Individuelle Förderung & Differenzierung,Ressourcenorientierung,"dlagen der Dimensionen Kultur, Nation, Religion, Behinderung, Begabung, sexuelle Orientierung, Geschlecht etc. und sind in der Lage, eine diversitätsbewusste Haltung einzunehmen, bei der Stärken- und Ressourcenorientierung im Vordergrund stehen. • begreifen Diversität als Ressource für Bildungs- und Lernprozesse, können Kerndimensionen und Theorien von Diversität interpretieren und sind in der Lage, Familienkonstellati",2632,False,,
PH Tirol.pdf,11,Code 2.3: Individuelle Förderung & Differenzierung,Begabung,"und sind in der Lage, Handlungsoptionen daraus abzuleiten.  Diversitäts- und Inklusionskompetenz Die Absolvent*innen …  • kennen die Grundlagen der Dimensionen Kultur, Nation, Religion, Behinderung, Begabung, sexuelle Orientierung, Geschlecht etc. und sind in der Lage, eine diversitätsbewusste Haltung einzunehmen, bei der Stärken- und Ressourcenorientierung im Vordergrund stehen. • begreifen Diversität a",2494,False,,
PH Tirol.pdf,11,Code 2.3: Individuelle Förderung & Differenzierung,Behinderung,"Lesekompetenz und sind in der Lage, Handlungsoptionen daraus abzuleiten.  Diversitäts- und Inklusionskompetenz Die Absolvent*innen …  • kennen die Grundlagen der Dimensionen Kultur, Nation, Religion, Behinderung, Begabung, sexuelle Orientierung, Geschlecht etc. und sind in der Lage, eine diversitätsbewusste Haltung einzunehmen, bei der Stärken- und Ressourcenorientierung im Vordergrund stehen. • begreifen Di",2481,False,,
PH Tirol.pdf,11,Code 2.5: Bildungspartnerschaft & Sozialraumorientierung,Bildungspartnerschaft,"ansitionskompetenzen, verstehen Transitionen als Veränderungen auf individueller, interaktionaler und kontextueller Ebene und sehen sich im Kontext der Transition mit den anderen Beteiligten in einer Bildungspartnerschaft. • verstehen die Wichtigkeit der Förderung von sozialer, emotionaler, motorischer und sensorischer Entwicklung durch Musik und Bewegung. • nutzen Kenntnisse für Voraussetzungen zum Erwerb mathematisc",1297,False,,
PH Tirol.pdf,11,Code 2.7: Professionelle Haltung & Ethik,Haltung,"z Die Absolvent*innen …  • kennen die Grundlagen der Dimensionen Kultur, Nation, Religion, Behinderung, Begabung, sexuelle Orientierung, Geschlecht etc. und sind in der Lage, eine diversitätsbewusste Haltung einzunehmen, bei der Stärken- und Ressourcenorientierung im Vordergrund stehen. • begreifen Diversität als Ressource für Bildungs- und Lernprozesse, können Kerndimensionen und Theorien von Diversität",2590,False,,
PH Tirol.pdf,11,Code 2.7: Professionelle Haltung & Ethik,Haltung,"soziologisch zu reflektieren und diversitätsbewusst zu agieren. • sind fähig, sich kritisch mit der eigenen Biografie, mit dem Begriff des Fremden und des Eigenen auseinanderzusetzen und ihre eigene Haltung und Sprache zu reflektieren. • kennen den Paradigmenwechsel und dessen Konsequenzen in Bezug auf Segregation, Integration und Inklusion und können in heterogenen Kindergruppen kompetent Gemeinsamkeit",3090,False,,
PH Tirol.pdf,12,Code 2.1: Diversität & Heterogenität,Vielfalt,"rellen und religiösen Weltanschauung bewusst und begegnen Kindern, Erziehungsberechtigten oder Kolleg*innen mit anderen Überzeugungen interessiert und wertschätzend. • nehmen kulturelle und religiöse Vielfalt wahr und können diese durch Bildungsangebote in die Alltagsgestaltung integrieren. • sind in der Lage, die Vielfalt kindlicher Vorstellungen von Selbst, Welt und Leben zu beschreiben und Kinder in ih",2707,False,,
PH Tirol.pdf,12,Code 2.1: Diversität & Heterogenität,Vielfalt,"ren Überzeugungen interessiert und wertschätzend. • nehmen kulturelle und religiöse Vielfalt wahr und können diese durch Bildungsangebote in die Alltagsgestaltung integrieren. • sind in der Lage, die Vielfalt kindlicher Vorstellungen von Selbst, Welt und Leben zu beschreiben und Kinder in ihrem interkulturellen und interreligiösen Kompetenzerwerb zu unterstützen. • kennen das „Konstrukt“ Ethik sowie desse",2823,False,,
PH Tirol.pdf,12,Code 2.1: Diversität & Heterogenität,kulturell,"g treffen und sind in der Lage, ihr eigenes medienpädagogisches Handeln zu reflektieren und kritisch zu hinterfragen. • können Erziehungsberechtigte zum Thema Mediennutzung bei Kindern beraten.  Interkulturelle und Interreligiöse Kompetenz Die Absolvent*innen …  • kennen unterschiedliche Zugänge und Wirklichkeitsdeutungen sowie Merkmale verschiedener kultureller bzw. religiöser Prägungen sowie deren grundl",2193,False,,
PH Tirol.pdf,12,Code 2.1: Diversität & Heterogenität,kulturell,Thema Mediennutzung bei Kindern beraten.  Interkulturelle und Interreligiöse Kompetenz Die Absolvent*innen …  • kennen unterschiedliche Zugänge und Wirklichkeitsdeutungen sowie Merkmale verschiedener kultureller bzw. religiöser Prägungen sowie deren grundlegende Theorien und können sie in den Kontext der frühen Bildung einordnen. • sind sich der eigenen kulturellen und religiösen Weltanschauung bewusst und,2346,False,,
PH Tirol.pdf,12,Code 2.1: Diversität & Heterogenität,kulturell,"keitsdeutungen sowie Merkmale verschiedener kultureller bzw. religiöser Prägungen sowie deren grundlegende Theorien und können sie in den Kontext der frühen Bildung einordnen. • sind sich der eigenen kulturellen und religiösen Weltanschauung bewusst und begegnen Kindern, Erziehungsberechtigten oder Kolleg*innen mit anderen Überzeugungen interessiert und wertschätzend. • nehmen kulturelle und religiöse Viel",2502,False,,
PH Tirol.pdf,12,Code 2.1: Diversität & Heterogenität,kulturell,"nd sich der eigenen kulturellen und religiösen Weltanschauung bewusst und begegnen Kindern, Erziehungsberechtigten oder Kolleg*innen mit anderen Überzeugungen interessiert und wertschätzend. • nehmen kulturelle und religiöse Vielfalt wahr und können diese durch Bildungsangebote in die Alltagsgestaltung integrieren. • sind in der Lage, die Vielfalt kindlicher Vorstellungen von Selbst, Welt und Leben zu besc",2682,False,,
PH Tirol.pdf,12,Code 2.1: Diversität & Heterogenität,kulturell,"können diese durch Bildungsangebote in die Alltagsgestaltung integrieren. • sind in der Lage, die Vielfalt kindlicher Vorstellungen von Selbst, Welt und Leben zu beschreiben und Kinder in ihrem interkulturellen und interreligiösen Kompetenzerwerb zu unterstützen. • kennen das „Konstrukt“ Ethik sowie dessen Bedeutung. Sie nehmen eine ethische Grundhaltung im Praxisalltag ein und bieten Gelegenheiten zur Au",2924,False,,
PH Tirol.pdf,12,Code 2.2: Inklusion & Partizipation,inklusiv,"r Lage, psychomotorische Entwicklungsförderung anzubieten. • verstehen den Mehrwert von Aktivitäten im Sinne der gesunden Lebensweise und entwickeln Konzepte für deren Planung und Durchführbarkeit in inklusiven Settings. • stellen sinnstiftende und philosophische Fragen, um ihre Bewertungs- und Urteilsfähigkeit zu vertiefen. • reflektieren eigene und fremde biografische Erfahrungen und Lebensgeschichten i",744,False,,
PH Tirol.pdf,12,Code 2.2: Inklusion & Partizipation,inklusiven Settings,"r Lage, psychomotorische Entwicklungsförderung anzubieten. • verstehen den Mehrwert von Aktivitäten im Sinne der gesunden Lebensweise und entwickeln Konzepte für deren Planung und Durchführbarkeit in inklusiven Settings. • stellen sinnstiftende und philosophische Fragen, um ihre Bewertungs- und Urteilsfähigkeit zu vertiefen. • reflektieren eigene und fremde biografische Erfahrungen und Lebensgeschichten im Hinblick",744,False,,
PH Tirol.pdf,12,Code 2.7: Professionelle Haltung & Ethik,Werte,"auf das jeweilige Menschenbild für das pädagogische Handeln. • besitzen Reflexionskompetenz hinsichtlich des eigenen pädagogischen Handelns, der Stärken und Schwächen, der Verhaltensmuster sowie der Wertehaltungen in der Rolle als Führungskraft. • entwickeln die Fähigkeit zur Wahrnehmung eigener Ressourcen und verhaltensbezogener Risikofaktoren im Hinblick auf Gesundheit sowie ein Bewusstsein hinsicht",1162,False,,
PH Tirol.pdf,12,Code 2.7: Professionelle Haltung & Ethik,Werte,Ressourcen und verhaltensbezogener Risikofaktoren im Hinblick auf Gesundheit sowie ein Bewusstsein hinsichtlich eines selbstverantwortlichen Umgangs mit Belastungssituationen. • sind sich der eigenen Wertehaltung bewusst und wissen um ihre Vorbildwirkung.  Digitale Kompetenz Die Absolvent*innen …  • kennen und reflektieren wissenschaftliche Theorien und Befunde zur Medienbildung in der frühen Kindheit,1460,False,,
PH Tirol.pdf,12,Code 2.7: Professionelle Haltung & Ethik,Haltung,"das jeweilige Menschenbild für das pädagogische Handeln. • besitzen Reflexionskompetenz hinsichtlich des eigenen pädagogischen Handelns, der Stärken und Schwächen, der Verhaltensmuster sowie der Wertehaltungen in der Rolle als Führungskraft. • entwickeln die Fähigkeit zur Wahrnehmung eigener Ressourcen und verhaltensbezogener Risikofaktoren im Hinblick auf Gesundheit sowie ein Bewusstsein hinsichtlich ei",1167,False,,
PH Tirol.pdf,12,Code 2.7: Professionelle Haltung & Ethik,Haltung,urcen und verhaltensbezogener Risikofaktoren im Hinblick auf Gesundheit sowie ein Bewusstsein hinsichtlich eines selbstverantwortlichen Umgangs mit Belastungssituationen. • sind sich der eigenen Wertehaltung bewusst und wissen um ihre Vorbildwirkung.  Digitale Kompetenz Die Absolvent*innen …  • kennen und reflektieren wissenschaftliche Theorien und Befunde zur Medienbildung in der frühen Kindheit und ver,1465,False,,
PH Tirol.pdf,12,Code 2.7: Professionelle Haltung & Ethik,Haltung,und Leben zu beschreiben und Kinder in ihrem interkulturellen und interreligiösen Kompetenzerwerb zu unterstützen. • kennen das „Konstrukt“ Ethik sowie dessen Bedeutung. Sie nehmen eine ethische Grundhaltung im Praxisalltag ein und bieten Gelegenheiten zur Auseinandersetzung mit ethischen Grundfragen.,3074,False,,
PH Tirol.pdf,12,Code 2.7: Professionelle Haltung & Ethik,Grundhaltung,Welt und Leben zu beschreiben und Kinder in ihrem interkulturellen und interreligiösen Kompetenzerwerb zu unterstützen. • kennen das „Konstrukt“ Ethik sowie dessen Bedeutung. Sie nehmen eine ethische Grundhaltung im Praxisalltag ein und bieten Gelegenheiten zur Auseinandersetzung mit ethischen Grundfragen.,3069,False,,
PH Tirol.pdf,12,Code 2.7: Professionelle Haltung & Ethik,ethisch,"Selbst, Welt und Leben zu beschreiben und Kinder in ihrem interkulturellen und interreligiösen Kompetenzerwerb zu unterstützen. • kennen das „Konstrukt“ Ethik sowie dessen Bedeutung. Sie nehmen eine ethische Grundhaltung im Praxisalltag ein und bieten Gelegenheiten zur Auseinandersetzung mit ethischen Grundfragen.",3060,False,,
PH Tirol.pdf,12,Code 2.7: Professionelle Haltung & Ethik,ethisch,n Kompetenzerwerb zu unterstützen. • kennen das „Konstrukt“ Ethik sowie dessen Bedeutung. Sie nehmen eine ethische Grundhaltung im Praxisalltag ein und bieten Gelegenheiten zur Auseinandersetzung mit ethischen Grundfragen.,3154,False,,
